EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI01316	AGD02E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.8804000000000001	20426020	457627	0.027562802261711705	2959847460	58320006	0.042078579856506426	17.8374066374688	0.926841789635046
EHI01293	AGB96E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Unknown	Greenland	70.297	-21.95	0.8943000000000001	16221522	926947	0.021411580887343185	2272213607	139669644	0.029996068317804325	16.9155211950598	0.946965603265166
EHI01326	AGD29E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9372	35502248	32824	0.025265709470478792	5277583976	4200157	0.033237536655925326	17.7540094969424	0.957682455253603
EHI01296	AGC96E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Female	Greenland	74.18	-20.22	0.9841	33535230	311697	0.020852615898313	4933362100	42674539	0.031411989069206614	17.7346122434542	0.95280755439438
EHI01306	AGC06E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Female	Greenland	70.297	-21.95	0.8538	52828344	461682	0.024064699352441155	7793182719	62257650	0.032539355736889375	17.6127621209232	0.971642471489235
EHI01317	AGC05E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.9144	41246332	3685371	0.01862088006580609	5583636504	559944877	0.025500014735875265	17.7288999064984	0.950980010985752
EHI01320	AGC24E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.9284	73156044	322553	0.01692633703232338	10841350545	48449012	0.024416434228931916	17.317285313442	0.983121041085614
EHI01385	AGC34E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.8101	54533610	4843	0.01974579069533766	8099878023	724022	0.029265407453836767	17.5877164590065	0.976178616050506
EHI01297	AGD20E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.977	28710272	35565	0.01672685547295749	4267981994	4675717	0.0244630718504546	17.5330325798151	0.954570500254468
EHI01302	AGD17E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9184	32839346	231401	0.015517362224696907	4836853424	34046436	0.026509979317258736	17.0879497842732	0.975363172695676
EHI01329	AGD36E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9495	40659506	391635	0.03237748074679092	5979999947	52717026	0.042881830166873525	17.2120777122793	0.981692634472487
EHI01319	AGC50E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Female	Greenland	70.297	-21.95	0.9477	28939138	6340442	0.03315702011053212	3333332529	966524804	0.04229193536280629	17.802521040893	0.943510279247923
EHI01321	AGD18E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9431	135880048	454799	0.014812707681910342	20115590239	65641331	0.024517424069369964	17.6489398071919	0.990443147094555
EHI01303	AGC48E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.8166	19841212	5222	0.013068581276249214	2945240633	772127	0.02307293431971369	15.9583650618485	0.940596223269155
EHI01330	AGC46E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Female	Greenland	70.297	-21.95	0.8622	43274456	1099182	0.020353407055599626	6265662956	166601956	0.02924311654638123	17.2102501966688	0.971449985057823
