Genome	EHI01293	EHI01286	EHI01323	EHI01331	EHI01290	EHI01321	EHI01288	EHI01319	EHI01302	EHI01301	EHI01306	EHI01300	EHI01315	EHI01330	EHI01381	EHI01280	EHI01384	EHI01385	EHI01332	EHI01303	EHI01289	EHI01297	EHI01296	EHI01309	EHI01382	EHI01283	EHI01308	EHI01311	EHI01292	EHI01305	EHI01299	EHI01291	EHI01284	EHI01287	EHI01325	EHI01383	EHI01310	EHI01322	EHI01317	EHI01285	EHI01295	EHI01318	EHI01313	EHI01314	EHI01326	EHI01316	EHI01298	EHI01282	EHI01328	EHI01329	EHI01320	EHI01307	EHI01281	EHI01312	EHI01304	EHI01327	EHI01294	EHI01324
EHA01871_bin.13	158193	1574044	3375610	1060920	214539	5120531	691067	163332	1323746	2015967	325596	1265956	461277	1042210	40292	528545	880839	2120375	2011131	25197	1417989	831406	1229517	2007030	381936	2009932	625777	165480	74876	1361151	3015396	164783	290143	421064	264342	197668	1012588	2034035	508058	155259	2139325	1377571	2208438	417918	1450745	685566	3344699	1457277	1653610	2174537	545369	1082034	315521	4728	541158	1787885	1069948	1888959
EHA01871_bin.16	601	28	711	1397	427	555	59	345	45	139	12644	12	13	1792	139	1292	120	2528	117	8	222	489	238	21	17	646	16893	8778	1370	252	35	14	23	236	643	5	163	142	115	6227	16	45	240	121	144	157	901	258594	10925	40	2179	387	390	281	43	7230	2287	216
EHA01871_bin.23	7977	147292	94918	168653	10796	372789	307922	144513	117605	69316	587	266	120530	448858	307453	82410	4132	104368	153575	2833	59181	442863	65188	171778	15273	94411	6991	30453	5822	9313	64549	1545	875	36200	987	41681	68488	25264	3029	41672	41312	63660	138005	8864	121201	90832	415250	81727	253033	24601	1088	95043	19747	84145	51573	184788	98050	194780
EHA01871_bin.4	895	366741	313481	482976	111583	2540843	233799	44471	6867	348815	22617	257500	2684	6328	954	54810	334109	4013	859037	10074	1796	435364	288276	15392	947	837818	3968	5945	2113	22489	359613	2829	1979	13243	164317	8413	692723	361369	58814	227457	18957	216437	897420	1652	729388	424550	1892897	688478	837431	1088134	3907	471845	4071	6991	23305	485502	244827	733304
EHA01871_bin.8	2118	15935	190987	12863	8017	40240	12403	8303	7664	21362	79880	7283	13973	13114	11702	36752	108052	132738	23313	11080	8810	23782	35569	109225	3691	25613	19701	5945	53844	17373	94517	26522	11613	12832	25771	90119	16571	31344	12310	8928	6975	12248	23770	24859	31447	21860	158353	44660	20204	11060	19332	13414	5116	25597	4459	97210	14177	31922
EHA01871_bin.9	3324	5385	2369	8623	960	54427	1094	31977	13176	16359	16835	6375	2439	5913	8305	27732	3698	647	9250	482	22041	17206	19789	20551	4506	17110	3205	19956	1298	25729	9184	670	372	5319	7813	56804	5289	6396	19320	15964	15278	4560	20106	659	7694	10186	7672	29166	9309	6998	40941	8273	31954	1402	2643	8250	8894	20530
EHA01872_bin.15	250	86	641	1318	956	87946	91	405	410	529	604	362	78	194	50	985	557	262	1149	488	393	139	3010	135	266	190576	2282	146	1750	983	498	128	9244	61	2824	423	378	405	2742	1029	42	845	1901	1028	1050	210	1227	737	374	100	881	15247	354	3	318	906	818	1821
EHA01872_bin.1	5698	11833	23065	14391	11653	335757	6775	6286	6242	27496	31008	28633	5206	13422	50727	76469	33888	140520	30156	7852	15831	29043	17571	20897	8411	83660	13380	18227	53770	25557	27347	14293	5891	7204	10146	106375	15568	34598	7401	24687	10360	17568	61912	10083	52774	14331	83964	37744	15016	25874	10556	11089	11310	887	15569	31267	12144	36104
EHA01872_bin.30	8421	7917	30658	11102	41377	51083	3662	10810	11870	17309	17880	21414	1145	10763	3012	91653	80919	33614	24563	7304	40813	7037	171220	14377	11033	308951	33448	6758	16844	62589	24515	12250	20597	1913	62204	13078	2972	6128	50878	23500	7130	22657	21846	24708	22413	8062	33804	19305	18952	8308	32161	10476	22565	362	25542	21431	49854	30784
EHA01872_bin.35	16950	239179	56755	43251	13698	534044	35700	16138	81262	82426	48807	87567	1821	9741	7307	56970	16213	45570	147313	1604	24939	94379	188253	380523	26918	262692	49127	725	13824	19838	122348	39101	13471	22468	12147	2227	15354	181559	9810	14214	79141	61020	308769	9213	132242	66076	180288	130898	195536	134298	1579	87474	12376	391	34230	155629	67514	105912
