Genome	EHI01293	EHI01286	EHI01323	EHI01331	EHI01290	EHI01321	EHI01288	EHI01319	EHI01302	EHI01301	EHI01306	EHI01300	EHI01315	EHI01330	EHI01381	EHI01280	EHI01384	EHI01385	EHI01332	EHI01303	EHI01289	EHI01297	EHI01296	EHI01309	EHI01382	EHI01283	EHI01308	EHI01311	EHI01292	EHI01305	EHI01299	EHI01291	EHI01284	EHI01287	EHI01325	EHI01383	EHI01310	EHI01322	EHI01317	EHI01285	EHI01295	EHI01318	EHI01313	EHI01314	EHI01326	EHI01316	EHI01298	EHI01282	EHI01328	EHI01329	EHI01320	EHI01307	EHI01281	EHI01312	EHI01304	EHI01327	EHI01294	EHI01324
EHA01871_bin.13	0.29660654	0.793094	0.9365442	0.9123555	0.59749264	0.9742587	0.8503366	0.2729556	0.82063425	0.91123646	0.23674984	0.7290158	0.5610518	0.63337094	0.13262694	0.6786145	0.7338334	0.6356115	0.92873305	0.12620646	0.6473412	0.8508614	0.96721137	0.8681086	0.3854927	0.98222435	0.2610389	0.21806218	0.20647416	0.6794862	0.974105	0.2488881	0.28929758	0.5614501	0.67155915	0.21260676	0.6140729	0.80096143	0.7026199	0.24003507	0.8638212	0.9307796	0.9475519	0.3052493	0.93589604	0.9481099	0.9550631	0.99743575	0.89712757	0.7755121	0.36591032	0.9574744	0.3097917	0.08606058	0.61942524	0.95988995	0.93642974	0.98301214
EHA01871_bin.16	0.034916278	0.0011300393	0.036739934	0.050579786	0.01683053	0.02802395	0.0026856926	0.003649014	0.0019010379	0.007320219	0.24407084	0.0005525016	0.00087285007	0.090081654	0.0018031695	0.06439517	0.006776822	0.1150916	0.0056553176	0.00051096437	0.012638118	0.027899908	0.012194865	0.00053600053	0.00062817894	0.037110355	0.39528388	0.3336666	0.07261897	0.012157311	0.001911849	0.00076189457	0.0007078393	0.010989717	0.036597114	0.00020085795	0.005253602	0.0026270854	0.0030851325	0.26943415	0.00045747813	0.0026873995	0.010168646	0.005760014	0.0077799736	0.008759796	0.048740767	0.9997337	0.35489833	0.0016290547	0.10663679	0.02227361	0.020581396	0.00076075655	0.0023095817	0.27988842	0.11846806	0.009566073
EHA01871_bin.23	0.110141374	0.26648772	0.707836	0.72437227	0.106091216	0.9574328	0.7562332	0.6326482	0.86168694	0.67250013	0.0070444928	0.007314451	0.3330147	0.6756633	0.5534588	0.7582536	0.0757221	0.6452635	0.84697896	0.016605185	0.59834623	0.77686065	0.82869226	0.682973	0.1636608	0.8656238	0.11160175	0.1722605	0.08676992	0.13421449	0.72416687	0.009076263	0.022130277	0.5404512	0.015031478	0.15605395	0.6270704	0.27920565	0.07632458	0.24553959	0.025378827	0.69873685	0.71287227	0.11075803	0.8953306	0.8346065	0.8989892	0.9252326	0.677982	0.3350937	0.016034966	0.7535679	0.21602914	0.29459408	0.6086239	0.76610243	0.8341252	0.92060554
EHA01871_bin.4	0.011770843	0.94932026	0.975467	0.9747379	0.8858747	0.9994624	0.9665464	0.801493	0.018028	0.96276325	0.49067077	0.89862937	0.033699285	0.09526789	0.01281096	0.8264659	0.89499956	0.018368691	0.9893855	0.3774269	0.03551896	0.96488965	0.9555912	0.2825432	0.008293347	0.99846846	0.020510485	0.024026189	0.020665973	0.5902403	0.9446604	0.015232419	0.012823166	0.44968006	0.89320695	0.01715133	0.96481484	0.9701704	0.8507415	0.8969965	0.5032111	0.978676	0.98510563	0.011368062	0.99728346	0.98042774	0.99638504	0.99929845	0.9625022	0.9455111	0.015886737	0.9678418	0.018926429	0.024390232	0.63329375	0.98134583	0.9814148	0.9917449
EHA01871_bin.8	0.059051	0.14784457	0.60138124	0.15570703	0.12203106	0.30596256	0.15796301	0.09399478	0.11866852	0.28583062	0.5484026	0.15014435	0.36489227	0.28541476	0.18382224	0.53072786	0.65192235	0.58316785	0.32635298	0.20521767	0.1691755	0.31153488	0.59464556	0.24431577	0.10204448	0.22638349	0.14536671	0.1089207	0.24201456	0.22980091	0.32380676	0.45762455	0.12016737	0.35827982	0.42311057	0.63929	0.09412619	0.3467949	0.13787343	0.14073636	0.15093468	0.19201635	0.24406983	0.30072236	0.2971644	0.24870066	0.6801815	0.7855996	0.17223336	0.14353333	0.42271253	0.2135345	0.09931632	0.3566592	0.108801335	0.5595208	0.16080908	0.5934658
EHA01871_bin.9	0.2330521	0.3527564	0.17563957	0.45975012	0.07578882	0.90587395	0.087536626	0.8273165	0.60478705	0.6841326	0.66568846	0.40083164	0.15868151	0.38077548	0.40534076	0.7927176	0.2443301	0.032819353	0.5168005	0.03870442	0.7413896	0.7136265	0.72529775	0.74869525	0.23000269	0.6507054	0.20078473	0.6452016	0.08985141	0.78044254	0.5019857	0.054651063	0.028880553	0.3385008	0.4445796	0.8544215	0.32602394	0.35919663	0.70862526	0.6144697	0.6088255	0.31137824	0.71965516	0.05073061	0.45511577	0.53367007	0.45582488	0.8823289	0.5038802	0.35365775	0.87866133	0.4726362	0.83644086	0.087905936	0.19465558	0.48693725	0.49726367	0.7030568
EHA01872_bin.15	0.0045540263	0.0016184252	0.0062158746	0.0044074724	0.006906125	0.96809375	0.0024660856	0.0042898674	0.0025624314	0.004999568	0.0047259103	0.0041754288	0.0013094861	0.0037620019	0.0012538498	0.006614827	0.00655512	0.0026424932	0.008275319	0.012707669	0.004185832	0.0027922133	0.024895161	0.0033834043	0.0024213053	0.9993455	0.012443057	0.0023317446	0.011292338	0.0048552756	0.0038158288	0.0027397433	0.28936747	0.0019685263	0.01369555	0.0051565254	0.00073548337	0.0029622882	0.013750735	0.00945951	0.0010964401	0.0076452275	0.008056393	0.008900435	0.009670295	0.003381595	0.0054405867	0.005061537	0.0028062353	0.0018237816	0.0068020904	0.47733685	0.0041532647	0.0001736935	0.0039872606	0.00525649	0.008944762	0.0073005543
EHA01872_bin.1	0.17440775	0.2812526	0.54898614	0.4226436	0.294547	0.9174841	0.2241603	0.20857145	0.14712976	0.571275	0.5540175	0.6208793	0.18011433	0.4318799	0.61747	0.8117834	0.62840617	0.7404503	0.6281259	0.2745713	0.43580797	0.61341286	0.47081485	0.42665228	0.23015244	0.9063094	0.31298026	0.43518457	0.6243053	0.6073401	0.4980031	0.38792896	0.12599413	0.21159871	0.35405898	0.6972744	0.37678406	0.5279834	0.25062293	0.51935565	0.2801435	0.48294502	0.8528021	0.28803802	0.70575345	0.43773624	0.6638584	0.57357424	0.34814554	0.5347722	0.30817208	0.35766116	0.32691967	0.01432238	0.43027464	0.62219995	0.37687907	0.5876183
EHA01872_bin.30	0.08499617	0.053253148	0.08613216	0.07777234	0.64657646	0.17935482	0.052807882	0.058992755	0.060288306	0.08041412	0.045618553	0.16457653	0.018539162	0.077144146	0.035640817	0.7731349	0.7491346	0.45340466	0.2932855	0.16512458	0.48271435	0.07341813	0.9805649	0.064121775	0.043273978	0.9987483	0.30105555	0.057437014	0.06415951	0.6416242	0.09001235	0.056730837	0.2675124	0.031202517	0.75935024	0.045305535	0.0138579225	0.05106131	0.6662081	0.085692644	0.051510893	0.28445306	0.18106581	0.09149082	0.16421212	0.07655801	0.100313164	0.08554673	0.086510226	0.05509783	0.21440302	0.11808757	0.08203383	0.0062190127	0.48363793	0.07868228	0.33360538	0.3081184
EHA01872_bin.35	0.46664727	0.91519994	0.8442792	0.8138254	0.4522933	0.9853174	0.8097745	0.46511614	0.8370348	0.9090295	0.5250444	0.7392008	0.1312969	0.4112078	0.33334374	0.678876	0.5134213	0.60907614	0.9624486	0.1143534	0.52816814	0.8797102	0.99059105	0.8653342	0.444969	0.99408656	0.61238897	0.06813288	0.40285355	0.5051653	0.9245951	0.65015703	0.45845917	0.47957382	0.4418654	0.12762511	0.63615006	0.91391295	0.40583596	0.46002793	0.85894257	0.9227877	0.94262457	0.3774842	0.9835981	0.8550229	0.92680556	0.9789955	0.9104578	0.89432764	0.1172119	0.96198773	0.44121733	0.003761752	0.50423175	0.9223489	0.9057212	0.9385847
