sample,region,S_capracanis,S_tuagulusi,S_hirsuta,G_intestinalis,G_peramelis,G_muris,Tr_spiralis,Tr_OTHER,Tr_pathgoniensis,Tr_pseudospiralis,Ta_laticollis,Ta_asiatica,Ta_solium,Ta_OTHER,Ta_krabbei,Ta_arctos,Ta_multiceps,Ta_saginata,Ta_madoquae,E_granulosus,E_multilocularis,C_ubiquitum,C_parvum,C_hominis_TU502,C_proventriculi,C_muris_RN66,C_OTHER,C_wrairi,C_canis,C_meleagridis
EHI01316,Daneborg,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0
EHI01293,Ittoqqortoormii,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01326,Daneborg,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0
EHI01296,Daneborg,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01306,Ittoqqortoormii,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01317,Ittoqqortoormii,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0
EHI01320,Ittoqqortoormii,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01385,Ittoqqortoormii,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
EHI01297,Daneborg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01302,Daneborg,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0
EHI01329,Daneborg,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
EHI01319,Ittoqqortoormii,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01321,Daneborg,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01303,Ittoqqortoormii,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01330,Ittoqqortoormii,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0
EHI01280,Ittoqqortoormii,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01382,Ittoqqortoormii,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
