sample,sample_code,Q_code,PR_Code,PR_results_short,toxocaris_leonina,sarcocystis_spp,Tania_serialis,cryptosporidium,giardia,toxoplasma_gondii,trichincella_spp,Pack,Huldscore,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C
EHI01316,AGD02E1L1I1,,DF38,no parasites,no,no,no,no,no,no,no,SH1,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.8804,20426020,457627,0.027562802,2959847460,58320006,0.04207858,17.83740664,0.92684179
EHI01293,AGB96E1L1I1,Q77,IF31,no parasites,no,no,no,no,no,no,no,P1,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Unknown,Greenland,70.297,-21.95,0.8943,16221522,926947,0.021411581,2272213607,139669644,0.029996068,16.9155212,0.946965603
EHI01326,AGD29E1L1I1,,DF10,no parasites,no,no,no,no,no,no,no,SH1,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9372,35502248,32824,0.025265709,5277583976,4200157,0.033237537,17.7540095,0.957682455
EHI01296,AGC96E1L1I1,,DF42,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,SH7,,Canis familiaris,Daneborg,Faecal,Carnivora,Female,Greenland,74.18,-20.22,0.9841,33535230,311697,0.020852616,4933362100,42674539,0.031411989,17.73461224,0.952807554
EHI01306,AGC06E1L1I1,Q23,IF12,parasites,yes,no,no,yes,no,no,no,P2,4,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Female,Greenland,70.297,-21.95,0.8538,52828344,461682,0.024064699,7793182719,62257650,0.032539356,17.61276212,0.971642471
EHI01317,AGC05E1L1I1,Q10,IF4,parasites,no,no,yes,no,no,no,no,P3,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.9144,41246332,3685371,0.01862088,5583636504,559944877,0.025500015,17.72889991,0.950980011
EHI01320,AGC24E1L1I1,Q21,IF10,no parasites,no,no,no,no,no,no,no,P1,4,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.9284,73156044,322553,0.016926337,10841350545,48449012,0.024416434,17.31728531,0.983121041
EHI01385,AGC34E1L1I1,Q26,IF14,parasites,yes,no,no,no,no,no,no,P4,4,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.8101,54533610,4843,0.019745791,8099878023,724022,0.029265407,17.58771646,0.976178616
EHI01297,AGD20E1L1I1,,DF19,no parasites,no,no,no,no,no,no,no,SH2,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.977,28710272,35565,0.016726855,4267981994,4675717,0.024463072,17.53303258,0.9545705
EHI01302,AGD17E1L1I1,,DF22,no parasites,no,no,no,no,no,no,no,SH4,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9184,32839346,231401,0.015517362,4836853424,34046436,0.026509979,17.08794978,0.975363173
